,Marital status,Course Code,Attendance,Previous qualification,Previous qualification (grade),Admission grade,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),GDP,Target,DropOff_Rate,Appreciation_Rate
30,single,9003,present,OND,150,150,yes,female,no,21,5,11.85714286,5,10.57142857,-0.92,Enrolled,1.29,0
33,single,8014,absent,SSCE,138,134.5,yes,male,no,19,6,12.66666667,6,14.375,1.79,Graduate,0,1.71
34,single,9991,absent,SSCE,130,131.4,yes,female,no,34,5,12.4,5,13.42857143,0.79,Graduate,0,1.03
38,married,9991,absent,SSCE,120,113.9,yes,male,no,39,5,11,5,11.6,0.32,Graduate,0,0.6
41,single,9147,present,SSCE,133,120.4,yes,male,no,22,5,14.8,5,15.8,3.51,Graduate,0,1
42,single,9500,present,SSCE,103,100.6,yes,male,no,22,5,13.928,7,14.34285714,2.02,Graduate,0,0.41
43,single,9773,present,SSCE,120,121.4,no,male,no,20,4,13,5,13.8,1.79,Dropout,0,0.8
46,single,9238,present,SSCE,130,127.6,yes,male,no,18,6,11.66666667,5,13.2,2.02,Graduate,0,1.53
47,single,9500,present,SSCE,132,132.4,yes,male,yes,22,6,13.51666667,7,13.77142857,2.02,Graduate,0,0.25
48,single,8014,absent,OND,130,133.4,yes,male,yes,21,6,11.5,6,13.28571429,1.79,Graduate,0,1.79
49,single,9238,present,SSCE,139,126.1,yes,male,yes,19,5,12.33333333,6,12.83333333,-1.7,Graduate,0,0.5
50,single,9254,present,SSCE,130,113.5,yes,male,yes,24,6,13.66666667,6,14.16666667,1.79,Graduate,0,0.5
51,single,9500,present,SSCE,139,121.3,yes,male,yes,19,6,11.83333333,6,11.83333333,-3.12,Enrolled,0,0
53,single,9130,present,SSCE,167,159.3,yes,male,no,19,5,14.71428571,5,15.8,0.32,Graduate,0,1.09
54,single,9991,absent,SSCE,130,120,yes,male,no,27,5,10.6,5,11,-3.12,Dropout,0,0.4
55,single,9500,present,SSCE,130,129.1,yes,male,no,18,7,13.04444444,8,13.595,-4.06,Graduate,0,0.55
57,single,9130,present,Phd,129,155.3,yes,male,no,27,5,13,10,12.9,1.79,Dropout,0.1,0
58,single,9500,present,SSCE,141,139.8,yes,male,no,18,8,14.935,8,14.935,-3.12,Graduate,0,0
60,single,9500,present,SSCE,125,114.9,yes,male,no,18,6,13.13333333,7,12.22142857,-0.92,Graduate,0.91,0
61,single,9238,present,OND,130,131.9,yes,male,yes,21,6,12,6,12,0.79,Graduate,0,0
65,married,9500,present,Bsc,133.1,126,yes,female,no,29,5,11.9,5,11,0.79,Dropout,0.9,0
67,single,9003,present,OND,130,130,yes,female,no,23,6,12.57142857,6,12.42857143,3.51,Graduate,0.14,0
69,single,9254,present,SSCE,160,100,yes,female,no,26,6,12,5,10.8,-1.7,Enrolled,1.2,0
71,single,9500,present,SSCE,150,130.8,yes,female,no,24,7,11.975,8,13.75,0.79,Graduate,0,1.78
77,single,9773,present,SSCE,121,120.3,yes,female,yes,19,6,13.66666667,6,13.33333333,3.51,Graduate,0.33,0
78,single,9500,present,SSCE,150,130.8,yes,female,yes,22,7,14.84285714,8,15.05555556,-0.92,Graduate,0,0.21
79,married,8014,absent,SSCE,120,117,yes,female,no,33,6,12,6,11.66666667,1.74,Graduate,0.33,0
80,single,9853,present,SSCE,114,110.2,yes,female,no,20,5,12.2,5,12.2,1.74,Dropout,0,0
82,single,9003,present,Bsc,160,180.4,yes,female,no,24,6,12.16666667,10,13.3,1.79,Dropout,0,1.13
84,married,8014,absent,SSCE,130,110,yes,male,no,33,6,11,5,11,-3.12,Graduate,0,0
85,single,9500,present,SSCE,160,161,yes,male,yes,22,7,13.08,7,13.08,1.74,Graduate,0,0
86,single,9670,present,SSCE,120,100,yes,male,yes,25,4,10.5,5,11.6,-3.12,Graduate,0,1.1
87,single,9070,present,SSCE,124,117.6,yes,female,no,20,6,10.66666667,5,11.2,0.32,Graduate,0,0.53
88,single,9147,present,SSCE,143,128.7,yes,female,no,23,4,14,5,13.8,2.02,Enrolled,0.2,0
91,single,9773,present,SSCE,133.1,105,no,male,no,21,6,14,6,13.5,3.51,Graduate,0.5,0
94,married,8014,absent,SSCE,133.1,114,yes,male,no,44,8,11.875,6,12.33333333,-1.7,Graduate,0,0.46
96,single,9773,present,SSCE,135,124.9,yes,male,no,18,6,13.66666667,6,13.33333333,3.51,Graduate,0.33,0
97,single,9500,present,SSCE,132,120.3,yes,male,yes,18,7,13.75,8,14.47777778,1.79,Graduate,0,0.73
98,single,9085,present,SSCE,135,134.3,yes,male,no,19,5,14.2,5,13.8,-1.7,Enrolled,0.4,0
100,single,9085,present,Msc,130,128.8,yes,male,no,21,8,12.875,5,13.4,3.51,Dropout,0,0.53
103,married,9003,present,Phd,133.1,160,yes,male,no,43,18,14.63157895,13,14.23076923,-4.06,Graduate,0.4,0
105,single,9070,present,SSCE,130,122.2,yes,male,no,20,10,13,11,12.27272727,2.02,Graduate,0.73,0
108,single,9500,present,SSCE,111,108.2,yes,male,no,20,6,13.26666667,5,12.3,1.79,Dropout,0.97,0
110,single,9238,present,SSCE,142,136.1,yes,male,no,18,6,13.85714286,6,15,0.79,Graduate,0,1.14
112,single,9085,present,SSCE,131,139.8,yes,male,no,19,5,13.4,5,12.8,1.74,Graduate,0.6,0
113,single,9773,present,SSCE,158,157,yes,male,no,18,6,12.66666667,6,12.57142857,1.74,Graduate,0.1,0
114,single,9500,present,SSCE,122,131,yes,male,no,18,6,12.51666667,6,12.51666667,0.32,Dropout,0,0
115,single,9500,present,SSCE,130,100,yes,male,no,20,6,11.61666667,7,13,0.79,Enrolled,0,1.38
118,single,9085,present,SSCE,140,137,yes,male,no,18,5,13.14285714,5,11.4,-3.12,Graduate,1.74,0
119,single,9147,present,SSCE,127,121.8,yes,male,no,18,5,12.6,5,14,2.02,Graduate,0,1.4
123,single,9670,present,SSCE,131,127.9,yes,male,yes,19,5,12.8,5,14.2,-3.12,Graduate,0,1.4
124,single,9085,present,SSCE,130,121.3,yes,male,no,19,6,14.16666667,6,12.2,-4.06,Graduate,1.97,0
126,single,9085,present,OND,160,160,yes,male,no,20,6,14.16666667,5,13.77777778,1.79,Graduate,0.39,0
127,single,9853,present,SSCE,146,145.3,yes,male,yes,18,5,12.8,5,13.4,-3.12,Enrolled,0,0.6
128,single,9238,present,SSCE,131,122.6,yes,male,no,18,6,13,6,13.66666667,1.79,Graduate,0,0.67
129,single,9500,present,SSCE,132,128,yes,male,no,19,7,13.46714286,8,15.01111111,1.79,Graduate,0,1.54
130,single,9500,present,SSCE,138,124.9,yes,male,yes,18,7,13.2375,7,13.74285714,0.79,Dropout,0,0.51
131,single,9070,present,SSCE,130,123.7,yes,male,no,18,6,12.33333333,6,13,0.32,Graduate,0,0.67
132,single,9147,present,SSCE,126,120.1,yes,male,no,19,5,12.4,5,14.6,3.51,Graduate,0,2.2
134,single,9238,present,SSCE,130,133.2,yes,male,no,20,9,11.66666667,7,11.71428571,0.32,Graduate,0,0.05
137,single,9773,present,SSCE,153,157.9,yes,male,yes,18,6,14.83333333,6,14.83333333,3.51,Graduate,0,0
138,single,9500,present,SSCE,117,112.1,yes,male,yes,20,5,13.188,7,12.89285714,2.02,Enrolled,0.3,0
139,single,9500,present,SSCE,178,174.7,yes,male,no,18,7,17.125,8,17.5875,0.79,Graduate,0,0.46
140,single,9500,present,SSCE,129,128.8,yes,male,no,19,6,12.66666667,6,12.66666667,0.32,Graduate,0,0
141,single,9773,present,SSCE,116,110.1,yes,male,yes,19,6,12.66666667,5,12,1.79,Graduate,0.67,0
143,single,9238,present,SSCE,135,121,yes,male,yes,19,6,11.33333333,6,11.5,1.79,Graduate,0,0.17
144,single,9500,present,SSCE,141,131.7,yes,male,yes,19,7,13.605,8,12.33125,-4.06,Graduate,1.27,0
145,single,9853,present,SSCE,132,119.1,yes,male,yes,19,5,12,5,10.8,-3.12,Graduate,1.2,0
148,single,9147,present,SSCE,134,128.8,yes,male,no,18,5,13.375,5,14.16666667,0.79,Graduate,0,0.79
149,single,9500,present,SSCE,136,131.5,yes,male,yes,20,6,13.86333333,7,14.17857143,2.02,Graduate,0,0.32
151,single,9085,present,SSCE,129,123.4,yes,male,no,19,5,12.4,5,13.4,0.32,Graduate,0,1
152,single,9853,present,SSCE,138,124.7,yes,male,no,18,3,12.33333333,5,10.83333333,-3.12,Enrolled,1.5,0
153,single,9853,present,SSCE,137,132.8,yes,male,no,18,6,13.33333333,5,11.8,0.32,Graduate,1.53,0
156,single,9147,present,SSCE,131,126.5,yes,male,yes,18,5,10.6,5,11.8,1.79,Graduate,0,1.2
157,single,9238,present,SSCE,133,127.4,yes,male,yes,18,6,12.25,6,11.85714286,-1.7,Graduate,0.39,0
158,single,9238,present,SSCE,125,123.6,yes,male,no,20,4,11,6,11.83333333,-3.12,Graduate,0,0.83
159,single,8014,absent,SSCE,120,122,yes,male,yes,24,5,11,5,12.6,2.02,Graduate,0,1.6
160,single,9670,present,SSCE,128,118.2,yes,male,no,19,6,13.16666667,6,13,1.74,Dropout,0.17,0
161,single,9500,present,SSCE,127,123.9,yes,male,yes,18,7,12.85555556,7,12.76111111,-4.06,Graduate,0.09,0
162,single,9500,present,SSCE,134,125.8,yes,male,no,18,7,14.91875,8,15.355,-4.06,Graduate,0,0.44
164,single,9670,present,SSCE,124,124.4,yes,male,no,19,5,14.2,5,14.2,0.32,Graduate,0,0
165,single,9773,present,SSCE,133.1,126,yes,male,yes,19,6,12.5,6,13,-4.06,Graduate,0,0.5
168,single,9500,present,HND,130,130,yes,male,no,29,7,14.25714286,7,14.25714286,-1.7,Graduate,0,0
171,single,9130,present,SSCE,133.1,108,yes,male,no,20,7,12.45714286,8,13.5625,-4.06,Graduate,0,1.11
172,single,9500,present,SSCE,131,132.3,yes,male,no,19,6,11.68333333,6,11.68333333,0.32,Graduate,0,0
173,single,8014,absent,SSCE,150,148,yes,male,no,26,3,11.66666667,5,12,-3.12,Graduate,0,0.33
174,single,9254,present,SSCE,125,122.6,no,male,no,20,4,11.75,6,13.16666667,2.02,Dropout,0,1.42
176,single,9853,present,SSCE,130,102.5,yes,male,no,27,5,13.2,5,12,0.32,Graduate,1.2,0
178,single,9853,present,SSCE,141,133,yes,male,no,18,5,12.4,5,10.4,-3.12,Dropout,2,0
179,single,9500,present,HND,140,140,yes,male,no,33,6,14.35,6,14.58333333,-0.92,Dropout,0,0.23
181,single,9991,absent,OND,140,140,yes,male,yes,26,6,12.66666667,6,13.16666667,-3.12,Enrolled,0,0.5
187,single,9500,present,SSCE,141,129,yes,male,yes,18,6,13.05,6,13.05,0.32,Graduate,0,0
189,single,9070,present,SSCE,148,163.4,yes,male,no,20,6,11.5,6,12,-0.92,Graduate,0,0.5
190,single,9254,present,SSCE,125,121.5,yes,male,yes,21,6,12,6,12.5,0.79,Graduate,0,0.5
194,single,9500,present,SSCE,142,129.8,yes,male,no,18,7,12.24285714,7,12.24285714,-1.7,Graduate,0,0
196,single,9500,present,SSCE,126,122.8,yes,male,no,18,8,12.93375,8,12.93375,-3.12,Graduate,0,0
198,single,9853,present,SSCE,130,131.8,yes,male,no,18,7,12.57142857,7,14.42857143,2.02,Graduate,0,1.86
201,single,9238,present,SSCE,127,127.4,yes,male,no,20,6,11.16666667,6,11.33333333,0.32,Graduate,0,0.17
202,single,9500,present,SSCE,140,129.5,yes,male,no,18,7,12.32428571,7,12.32428571,1.74,Graduate,0,0
203,single,9238,present,OND,130,126.7,yes,male,no,21,6,12.16666667,6,11.71428571,0.79,Graduate,0.45,0
206,single,9500,present,SSCE,149,126.5,yes,male,no,18,7,12.91428571,7,12.91428571,-1.7,Graduate,0,0
207,single,9773,present,SSCE,155,149.8,yes,male,yes,18,6,13.83333333,6,14.16666667,-0.92,Graduate,0,0.33
208,single,9085,present,SSCE,120,115.1,yes,male,no,19,6,13.85714286,5,13.4,0.79,Graduate,0.46,0
209,single,9254,present,Bsc,133.1,124.5,yes,male,yes,36,6,13.71428571,5,12.8,-0.92,Dropout,0.91,0
210,single,9500,present,SSCE,131,128.3,yes,male,yes,18,7,12.64285714,7,12.64285714,-1.7,Graduate,0,0
211,single,9500,present,SSCE,149,136,yes,male,yes,18,6,12.91666667,6,12.91666667,0.32,Graduate,0,0
212,single,9130,present,SSCE,140,140,yes,male,yes,20,6,15.625,6,15.85714286,0.79,Graduate,0,0.23
214,single,9773,present,SSCE,122,126.9,yes,male,no,21,6,11.71428571,6,12,0.32,Graduate,0,0.29
215,single,9130,present,Phd,130,145,yes,male,no,25,6,12.125,8,13.3125,-4.06,Enrolled,0,1.19
216,single,9147,present,SSCE,121,115.8,yes,male,yes,19,5,11.6,5,11.6,1.79,Graduate,0,0
221,married,9853,present,SSCE,134,122.5,yes,male,yes,19,6,13.33333333,6,14.5,1.74,Graduate,0,1.17
223,single,9500,present,SSCE,127,150,yes,male,yes,19,5,13.85,7,12.19285714,2.02,Graduate,1.66,0
224,single,9500,present,SSCE,135,127.5,yes,male,yes,19,6,13.74166667,7,14.9125,-0.92,Graduate,0,1.17
225,married,9991,absent,HND,140,140,yes,male,no,33,6,15.33333333,5,15.8,2.02,Graduate,0,0.47
226,married,9147,present,HND,130,130,yes,male,no,45,5,11,5,13.8,1.79,Graduate,0,2.8
227,single,9238,present,SSCE,135,133.3,yes,male,yes,20,6,12,6,12.85714286,2.02,Graduate,0,0.86
229,single,9500,present,SSCE,120,112,yes,male,yes,19,7,11.57142857,7,11.57142857,-1.7,Graduate,0,0
232,single,9670,present,SSCE,135,133.3,yes,male,no,19,5,13,5,13.2,-3.12,Graduate,0,0.2
233,single,9254,present,SSCE,123,132.1,yes,male,yes,21,5,11,5,12,-4.06,Graduate,0,1
235,single,9238,present,SSCE,154,140.4,yes,male,yes,22,5,12.6,6,13,1.74,Graduate,0,0.4
236,single,9853,present,SSCE,148,141.7,yes,male,yes,18,5,13.4,6,13.16666667,-3.12,Graduate,0.23,0
237,single,9238,present,SSCE,133,119.7,yes,male,yes,18,6,11.33333333,6,11.57142857,-4.06,Graduate,0,0.24
240,single,9500,present,SSCE,125,119.4,yes,male,no,19,6,12.47142857,7,11.4625,1.79,Enrolled,1.01,0
241,single,171,present,SSCE,145,155,yes,male,no,24,11,12.90909091,9,13.55555556,1.79,Enrolled,0,0.65
242,single,9147,present,SSCE,118,119.1,yes,male,yes,20,5,11.6,5,13.6,1.79,Graduate,0,2
244,single,9147,present,SSCE,127,117.9,yes,male,yes,20,9,12.9,10,12.36363636,3.51,Graduate,0.54,0
245,single,9500,present,HND,130,130,yes,male,no,23,8,13.22,8,13.22,-3.12,Graduate,0,0
246,single,9500,present,SSCE,129,120,yes,male,yes,19,7,13.15142857,7,13.15142857,1.74,Graduate,0,0
249,single,9670,present,SSCE,136,123.4,yes,male,yes,18,6,13.25,5,14.14285714,2.02,Graduate,0,0.89
250,single,9070,present,SSCE,125,125.4,yes,male,no,19,5,12.4,5,12.4,-3.12,Enrolled,0,0
251,single,9773,present,SSCE,131,127.2,yes,male,yes,18,6,15,6,12.83333333,3.51,Dropout,2.17,0
252,single,9085,present,SSCE,122,103.4,yes,male,no,19,5,14.4,5,13,0.32,Graduate,1.4,0
254,single,9147,present,SSCE,136,124.1,yes,male,no,18,5,12.4,5,10.8,3.51,Graduate,1.6,0
256,single,9991,absent,Phd,127,124.9,yes,male,no,29,5,13.57142857,5,12.33333333,-0.92,Graduate,1.24,0
257,single,9070,present,SSCE,116,110.8,yes,male,no,18,6,11.83333333,6,12.5,0.32,Enrolled,0,0.67
258,single,9238,present,SSCE,121,118.9,yes,male,yes,19,5,11.66666667,5,12.66666667,1.79,Graduate,0,1
260,single,9254,present,SSCE,131,137,yes,male,yes,20,6,11.16666667,5,10.6,-4.06,Graduate,0.57,0
262,single,9119,present,SSCE,130,120,no,male,no,30,8,11.75,6,12.16666667,0.32,Dropout,0,0.42
263,single,9238,present,SSCE,135,122.8,yes,male,no,18,6,14,6,14,1.74,Graduate,0,0
264,single,9238,present,SSCE,130,121.6,yes,male,no,18,6,12.83333333,6,12,1.79,Graduate,0.83,0
266,single,9500,present,SSCE,146,140,yes,male,no,18,7,14.82857143,7,14.82857143,-1.7,Graduate,0,0
267,single,9773,present,SSCE,154,133.4,yes,male,yes,19,5,11.4,5,12.8,-1.7,Graduate,0,1.4
268,single,9070,present,SSCE,137,126.2,yes,male,yes,19,6,13,6,12.5,1.74,Graduate,0.5,0
269,single,9500,present,SSCE,151,127.8,yes,male,yes,18,7,13.67142857,7,13.67142857,-1.7,Graduate,0,0
270,single,9003,present,OND,150,150,yes,male,yes,21,6,12.66666667,5,12.8,0.79,Graduate,0,0.13
272,single,9147,present,SSCE,122,117.8,yes,male,no,20,5,13.5,5,12.33333333,0.79,Graduate,1.17,0
273,single,9500,present,SSCE,143,136.7,yes,male,no,19,7,12.67,8,13.55,2.02,Graduate,0,0.88
274,single,9238,present,SSCE,152,144.7,yes,male,no,20,6,14.5,6,15.42857143,-0.92,Graduate,0,0.93
275,single,9500,present,SSCE,145,139.8,yes,male,no,18,7,13.68571429,8,15.3875,0.79,Graduate,0,1.7
277,married,9130,present,HND,140,140,no,male,no,29,7,11.55555556,5,13.2,0.32,Dropout,0,1.64
278,single,9500,present,SSCE,143,142.3,yes,male,yes,18,7,13.79714286,8,13.775,1.79,Enrolled,0.02,0
279,single,9500,present,SSCE,129,119.6,yes,male,yes,20,7,14.00375,7,13.81285714,-4.06,Graduate,0.19,0
281,married,8014,absent,SSCE,133.1,143,yes,male,yes,47,5,14.16666667,6,14.16666667,-0.92,Graduate,0,0
282,married,9991,absent,SSCE,127,100.1,yes,male,no,31,5,14,5,13.8,3.51,Graduate,0.2,0
283,single,9070,present,SSCE,126,119.4,yes,male,yes,21,5,13.8,6,12.83333333,-0.92,Graduate,0.97,0
284,single,8014,absent,SSCE,128,122.1,yes,male,no,21,5,12.8,6,11.85714286,0.32,Graduate,0.94,0
285,married,9773,present,Phd,100,100,yes,male,no,24,6,12.16666667,6,13.83333333,0.32,Graduate,0,1.67
286,single,9070,present,SSCE,123,113.9,yes,male,no,18,6,12.5,6,12.33333333,-4.06,Enrolled,0.17,0
288,single,8014,absent,SSCE,117,111.8,yes,male,yes,19,6,10.83333333,6,11.5,1.74,Graduate,0,0.67
289,single,9500,present,SSCE,140,140,yes,male,no,24,8,13.385,8,13.385,-3.12,Graduate,0,0
290,single,9085,present,SSCE,123,124.4,yes,male,no,19,6,15.66666667,6,14.5,-4.06,Graduate,1.17,0
291,single,9003,present,OND,150,150,yes,male,yes,19,6,14.33333333,6,13.83333333,0.79,Graduate,0.5,0
292,single,9003,present,OND,140,140,yes,male,no,24,6,11.42857143,5,13,1.79,Enrolled,0,1.57
293,single,9238,present,SSCE,123,116,yes,male,yes,18,6,11.66666667,6,11.66666667,3.51,Graduate,0,0
295,married,9500,present,SSCE,137,121,yes,male,yes,19,7,14.72571429,7,14.72571429,1.74,Graduate,0,0
296,single,9773,present,SSCE,126,118.7,yes,male,yes,18,6,14.16666667,6,13.66666667,1.79,Graduate,0.5,0
297,single,9238,present,SSCE,125,125.7,yes,male,no,18,6,11.57142857,6,12.33333333,1.79,Graduate,0,0.76
298,single,9130,present,SSCE,112,107.1,yes,male,no,20,7,12.5,8,13.1375,1.79,Graduate,0,0.64
299,single,9500,present,SSCE,141,125.5,yes,male,no,18,8,12.86,8,12.86,-3.12,Graduate,0,0
300,single,9670,present,SSCE,135,127,yes,male,no,18,6,12.25,6,13.71428571,2.02,Graduate,0,1.46
301,single,9085,present,SSCE,117,113.5,yes,male,yes,21,4,12,5,12.2,1.74,Graduate,0,0.2
302,single,9500,present,SSCE,160,154.4,yes,male,yes,18,7,15.11666667,8,16.16888889,-4.06,Graduate,0,1.05
308,single,9085,present,SSCE,142,155.3,yes,male,no,19,5,15.2,5,13.2,0.32,Graduate,2,0
310,single,9238,present,SSCE,160,116.1,yes,male,no,26,6,14.83333333,6,15.14285714,2.02,Graduate,0,0.31
312,single,9147,present,SSCE,142,127.3,yes,male,yes,18,5,11.2,5,11.8,2.02,Graduate,0,0.6
313,single,9853,present,SSCE,121,113.7,yes,male,yes,20,5,13.4,5,13.66666667,-3.12,Graduate,0,0.27
315,single,9147,present,SSCE,153,146.7,yes,male,no,18,5,16.2,5,16.4,2.02,Graduate,0,0.2
316,single,9500,present,SSCE,140,124.3,yes,male,yes,18,7,14.54285714,8,14.88181818,-0.92,Graduate,0,0.34
317,single,9500,present,SSCE,152,137.8,yes,male,no,19,7,13.69428571,8,14.35555556,2.02,Graduate,0,0.66
318,single,9238,present,SSCE,120,130.2,yes,male,yes,18,6,11.28571429,6,11.85714286,1.79,Graduate,0,0.57
319,single,9500,present,SSCE,160,147.8,yes,male,no,20,6,11.75714286,6,13.08333333,-4.06,Enrolled,0,1.33
321,single,9500,present,SSCE,100,100,yes,male,yes,19,7,13.05857143,7,13.05857143,1.74,Graduate,0,0
322,single,9500,present,SSCE,150,155.6,yes,male,no,19,7,14.3,8,14.05555556,-0.92,Graduate,0.24,0
323,single,9147,present,SSCE,124,117.4,yes,male,no,19,5,11.8,8,12,0.32,Graduate,0,0.2
326,single,9500,present,Bsc,134,120.4,yes,male,no,19,6,13.33333333,6,13.33333333,0.32,Graduate,0,0
327,single,9238,present,SSCE,134,130.9,yes,male,no,18,6,11.85714286,5,11,0.79,Graduate,0.86,0
328,single,9853,present,SSCE,132,125,yes,male,no,18,5,12.6,5,11.4,-3.12,Enrolled,1.2,0
329,single,9085,present,SSCE,135,136.8,yes,male,no,18,5,14,5,11.6,-3.12,Enrolled,2.4,0
330,single,9853,present,SSCE,123,121.6,yes,male,no,18,5,12,6,12.66666667,2.02,Enrolled,0,0.67
332,single,9238,present,SSCE,107,103.5,yes,male,no,20,6,12,6,13,1.79,Graduate,0,1
333,single,8014,absent,SSCE,126,119.4,yes,male,no,19,6,12.66666667,6,11.66666667,-1.7,Graduate,1,0
334,single,9238,present,SSCE,133,134.4,yes,male,yes,18,6,12.16666667,6,13.66666667,-3.12,Graduate,0,1.5
335,single,9238,present,OND,140,143,yes,male,no,19,6,13.33333333,6,14.66666667,0.79,Graduate,0,1.33
336,single,9853,present,Phd,110,110,yes,male,no,40,7,15,7,14.57142857,1.79,Graduate,0.43,0
337,single,9500,present,SSCE,141,132.5,yes,male,yes,18,8,13.39125,8,13.39125,-3.12,Graduate,0,0
338,single,9238,present,SSCE,122,114.7,yes,male,no,19,5,12.16666667,6,12.42857143,0.79,Graduate,0,0.26
342,married,8014,absent,SSCE,120,117,yes,male,no,33,6,12.83333333,6,12.85714286,1.79,Graduate,0,0.02
343,single,9003,present,HND,130,150,yes,male,no,35,6,14,6,13.1,-0.92,Graduate,0.9,0
345,single,9773,present,SSCE,140,135.1,yes,male,no,18,6,13.5,6,12.5,-3.12,Graduate,1,0
346,single,9238,present,SSCE,110,110,yes,male,no,36,13,10.69230769,9,12.30769231,-4.06,Enrolled,0,1.62
347,married,9991,absent,SSCE,133.1,136.2,yes,male,no,39,5,11,5,11.66666667,1.74,Graduate,0,0.67
348,married,9238,present,SSCE,120,116,yes,male,no,44,6,13,6,13.83333333,-1.7,Graduate,0,0.83
351,single,9773,present,SSCE,123,134,yes,male,yes,20,6,13.66666667,6,13.33333333,1.79,Graduate,0.33,0
353,married,9500,present,SSCE,151,134.5,yes,male,yes,18,6,14.2,6,14.2,0.32,Graduate,0,0
355,single,9085,present,SSCE,133,127.1,yes,male,no,18,6,15,6,16.42857143,2.02,Graduate,0,1.43
356,single,9500,present,Bsc,133.1,133,yes,male,no,24,6,12.58571429,7,13.44285714,0.79,Graduate,0,0.86
360,single,9853,present,SSCE,140,128.5,yes,male,no,18,6,11.66666667,6,11.83333333,1.74,Graduate,0,0.17
363,single,9085,present,Msc,140,142.5,yes,male,yes,22,8,13.5,7,13.71428571,3.51,Graduate,0,0.21
364,single,9500,present,SSCE,136,133,yes,male,no,19,5,13.98,5,13.98,0.32,Enrolled,0,0
365,single,9085,present,SSCE,133.1,106,yes,male,yes,21,6,16.15384615,6,15.75,-4.06,Graduate,0.4,0
366,single,9500,present,SSCE,136,125.5,yes,male,yes,21,6,14.03333333,6,14.03333333,0.32,Graduate,0,0
367,single,9085,present,SSCE,134,131.2,yes,male,no,19,1,11,5,11.2,0.32,Enrolled,0,0.2
368,single,9853,present,SSCE,122,112.9,yes,male,yes,19,7,13.85714286,6,13.66666667,3.51,Graduate,0.19,0
369,single,9500,present,SSCE,138,124.8,yes,male,no,18,7,13.41428571,7,13.41428571,-1.7,Dropout,0,0
370,married,8014,absent,SSCE,160,140.9,yes,male,no,50,11,13.54545455,7,13.57142857,-0.92,Graduate,0,0.03
372,single,9773,present,SSCE,161,148.4,yes,male,yes,19,6,13.83333333,6,14.42857143,-4.06,Graduate,0,0.6
373,married,9991,absent,SSCE,140,129.7,yes,male,no,35,5,12,5,12.85714286,0.79,Graduate,0,0.86
375,married,8014,absent,Bsc,133.1,104,yes,male,no,42,10,11.9,10,12.8,2.02,Enrolled,0,0.9
377,single,9500,present,SSCE,152,141,yes,male,yes,18,7,15.13571429,8,15.2875,1.79,Graduate,0,0.15
