,Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
28,1,1,1,9147,1,1,135.0,1,19,1,9.0,9.0,122.1,1,0,1,0,0,20.0,0,0.0,5.0,6.0,5.0,12.0,0,0.0,5.0,6.0,5.0,12.333333333333334,0,16.2,0.3,-0.92,Graduate
31,1,51,1,9070,1,1,125.0,1,42,3,5.0,7.0,130.0,1,0,1,1,0,20.0,0,2.0,6.0,7.0,6.0,12.833333333333334,0,0.0,6.0,9.0,4.0,13.4,0,8.9,1.4,3.51,Graduate
33,1,18,1,8014,0,1,138.0,1,19,1,9.0,5.0,134.5,1,0,1,0,0,19.0,0,0.0,6.0,6.0,6.0,12.666666666666666,0,0.0,6.0,8.0,6.0,14.375,0,12.4,0.5,1.79,Graduate
34,1,1,1,9991,0,1,130.0,1,2,37,3.0,9.0,131.4,0,0,1,1,0,34.0,0,0.0,5.0,6.0,5.0,12.4,0,0.0,5.0,9.0,5.0,13.428571428571429,0,13.9,-0.3,0.79,Graduate
35,1,39,1,9130,1,1,130.0,1,38,37,9.0,6.0,102.5,0,1,0,1,0,37.0,0,0.0,7.0,7.0,0.0,0.0,0,0.0,7.0,7.0,1.0,10.0,0,8.9,1.4,3.51,Dropout
36,1,39,1,9119,1,9,133.1,1,34,37,0.0,0.0,128.8,1,0,1,1,0,43.0,0,0.0,5.0,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0.0,0,7.6,2.6,0.32,Dropout
37,1,43,1,9147,1,1,140.0,1,37,37,6.0,6.0,122.9,0,0,1,0,0,20.0,0,0.0,5.0,10.0,1.0,10.0,0,0.0,5.0,8.0,2.0,12.0,2,16.2,0.3,-0.92,Dropout
38,2,39,1,9991,0,1,120.0,1,19,19,9.0,3.0,113.9,1,0,1,0,0,39.0,0,0.0,5.0,8.0,5.0,11.0,0,0.0,5.0,5.0,5.0,11.6,0,7.6,2.6,0.32,Graduate
39,1,44,1,9130,1,39,120.0,6,4,4,3.0,6.0,120.0,0,1,0,0,0,20.0,1,2.0,6.0,13.0,3.0,11.666666666666666,0,1.0,6.0,11.0,3.0,12.0,0,12.4,0.5,1.79,Dropout
40,1,1,5,9773,1,1,126.0,1,3,3,2.0,2.0,121.1,0,1,1,0,0,18.0,0,0.0,6.0,6.0,4.0,12.75,0,0.0,5.0,5.0,0.0,0.0,0,12.7,3.7,-1.7,Dropout
41,1,1,2,9147,1,1,133.0,1,3,19,2.0,7.0,120.4,1,0,1,0,0,22.0,0,0.0,5.0,5.0,5.0,14.8,0,0.0,5.0,5.0,5.0,15.8,0,8.9,1.4,3.51,Graduate
42,1,1,6,9500,1,1,103.0,1,1,3,2.0,2.0,100.6,1,0,1,0,0,22.0,0,0.0,7.0,9.0,5.0,13.928,0,0.0,8.0,9.0,7.0,14.342857142857142,0,11.1,0.6,2.02,Graduate
43,1,17,1,9773,1,1,120.0,1,1,38,5.0,5.0,121.4,0,0,0,0,0,20.0,0,0.0,6.0,7.0,4.0,13.0,0,0.0,6.0,7.0,5.0,13.8,0,12.4,0.5,1.79,Dropout
44,1,39,1,9991,0,1,133.1,1,37,37,9.0,9.0,109.7,0,0,1,0,0,29.0,0,0.0,5.0,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0.0,0,16.2,0.3,-0.92,Dropout
46,1,17,2,9238,1,1,130.0,1,19,19,9.0,9.0,127.6,1,0,1,0,0,18.0,0,0.0,6.0,6.0,6.0,11.666666666666666,0,0.0,6.0,8.0,5.0,13.2,0,11.1,0.6,2.02,Graduate
47,1,17,6,9500,1,1,132.0,1,37,19,7.0,7.0,132.4,1,0,1,0,1,22.0,0,0.0,7.0,8.0,6.0,13.516666666666666,0,0.0,8.0,9.0,7.0,13.771428571428572,0,11.1,0.6,2.02,Graduate
48,1,44,1,8014,0,39,130.0,1,1,19,9.0,9.0,133.4,0,0,1,0,1,21.0,0,3.0,6.0,6.0,6.0,11.5,0,2.0,6.0,7.0,6.0,13.285714285714286,0,12.4,0.5,1.79,Graduate
49,1,1,1,9238,1,1,139.0,1,37,38,9.0,9.0,126.1,0,0,1,0,1,19.0,0,0.0,6.0,7.0,5.0,12.333333333333334,0,0.0,6.0,7.0,6.0,12.833333333333334,0,12.7,3.7,-1.7,Graduate
50,1,39,1,9254,1,1,130.0,1,19,38,9.0,7.0,113.5,0,0,1,0,1,24.0,0,0.0,6.0,6.0,6.0,13.666666666666666,0,0.0,6.0,6.0,6.0,14.166666666666666,0,12.4,0.5,1.79,Graduate
53,1,1,3,9130,1,1,167.0,1,37,37,5.0,7.0,159.3,0,0,1,0,0,19.0,0,0.0,5.0,7.0,5.0,14.714285714285714,0,0.0,5.0,5.0,5.0,15.8,0,7.6,2.6,0.32,Graduate
54,1,39,1,9991,0,1,130.0,1,38,38,9.0,9.0,120.0,0,0,1,0,0,27.0,0,0.0,5.0,12.0,5.0,10.6,0,0.0,5.0,10.0,5.0,11.0,0,9.4,-0.8,-3.12,Dropout
55,1,1,1,9500,1,1,130.0,1,1,19,5.0,5.0,129.1,1,0,1,0,0,18.0,0,0.0,7.0,9.0,7.0,13.044444444444444,0,0.0,8.0,10.0,8.0,13.595,0,15.5,2.8,-4.06,Graduate
56,2,7,1,9254,1,3,130.0,1,1,3,4.0,3.0,130.0,0,0,1,0,0,39.0,0,0.0,6.0,10.0,0.0,0.0,0,0.0,6.0,6.0,0.0,0.0,0,12.4,0.5,1.79,Dropout
57,1,39,1,9130,1,40,129.0,1,3,3,2.0,2.0,155.3,1,0,1,0,0,27.0,0,0.0,6.0,9.0,5.0,13.0,0,5.0,11.0,13.0,10.0,12.9,0,12.4,0.5,1.79,Dropout
58,1,17,1,9500,1,1,141.0,1,38,38,7.0,10.0,139.8,1,0,1,0,0,18.0,0,0.0,8.0,8.0,8.0,14.935,0,0.0,8.0,8.0,8.0,14.935,0,9.4,-0.8,-3.12,Graduate
60,1,1,2,9500,1,1,125.0,1,19,19,9.0,9.0,114.9,0,0,1,0,0,18.0,0,0.0,7.0,8.0,6.0,13.133333333333333,0,0.0,8.0,12.0,7.0,12.221428571428572,0,16.2,0.3,-0.92,Graduate
61,1,44,1,9238,1,39,130.0,1,19,1,9.0,9.0,131.9,0,0,1,0,1,21.0,0,3.0,6.0,7.0,6.0,12.0,0,2.0,6.0,7.0,6.0,12.0,0,13.9,-0.3,0.79,Graduate
65,2,42,1,9500,1,19,133.1,1,1,1,5.0,5.0,126.0,1,0,1,1,0,29.0,0,2.0,7.0,10.0,5.0,11.9,0,1.0,8.0,10.0,5.0,11.0,0,13.9,-0.3,0.79,Dropout
66,1,1,3,171,1,1,139.0,1,19,19,5.0,3.0,128.2,1,0,1,1,1,19.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,10.8,1.4,1.74,Graduate
67,1,44,1,9003,1,39,130.0,1,19,37,9.0,9.0,130.0,1,0,1,1,0,23.0,0,0.0,6.0,8.0,6.0,12.571428571428571,0,0.0,6.0,7.0,6.0,12.428571428571429,0,8.9,1.4,3.51,Graduate
68,1,1,3,9147,1,1,125.0,1,1,38,7.0,7.0,120.1,0,1,1,1,0,19.0,0,0.0,5.0,8.0,5.0,11.2,0,0.0,5.0,10.0,4.0,10.75,3,16.2,0.3,-0.92,Dropout
71,1,17,1,9500,1,1,150.0,1,37,19,8.0,4.0,130.8,0,0,1,1,0,24.0,0,0.0,7.0,8.0,7.0,11.975,0,0.0,8.0,8.0,8.0,13.75,0,13.9,-0.3,0.79,Graduate
72,1,1,1,171,1,1,141.0,1,19,19,5.0,10.0,135.8,1,0,1,1,0,19.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,15.5,2.8,-4.06,Dropout
73,1,17,4,9254,1,1,118.0,1,38,37,5.0,7.0,111.7,1,0,1,1,0,18.0,0,0.0,6.0,12.0,3.0,11.666666666666666,0,0.0,6.0,12.0,1.0,12.0,0,12.4,0.5,1.79,Dropout
74,1,1,2,9773,1,1,142.0,1,38,38,9.0,9.0,132.9,1,0,1,1,0,18.0,0,0.0,6.0,8.0,6.0,12.333333333333334,0,0.0,6.0,11.0,3.0,12.333333333333334,0,10.8,1.4,1.74,Graduate
75,1,17,3,9147,1,1,120.0,1,19,19,4.0,7.0,115.5,1,1,1,1,0,18.0,0,0.0,5.0,8.0,3.0,10.333333333333334,0,0.0,5.0,11.0,3.0,10.857142857142858,0,10.8,1.4,1.74,Dropout
76,1,18,4,9254,1,1,106.0,1,19,37,7.0,7.0,106.0,1,0,1,1,1,21.0,0,0.0,6.0,8.0,4.0,10.5,0,0.0,6.0,11.0,1.0,11.0,0,9.4,-0.8,-3.12,Dropout
77,1,17,4,9773,1,1,121.0,1,1,19,9.0,8.0,120.3,1,1,1,1,1,19.0,0,0.0,6.0,6.0,6.0,13.666666666666666,0,0.0,6.0,6.0,6.0,13.333333333333334,0,8.9,1.4,3.51,Graduate
78,1,17,4,9500,1,1,150.0,1,38,37,9.0,9.0,130.8,0,0,1,1,1,22.0,0,0.0,7.0,7.0,7.0,14.842857142857142,0,0.0,8.0,9.0,8.0,15.055555555555555,0,16.2,0.3,-0.92,Graduate
79,2,39,1,8014,0,1,120.0,1,37,37,9.0,6.0,117.0,0,0,1,1,0,33.0,0,0.0,6.0,8.0,6.0,12.0,0,0.0,6.0,6.0,6.0,11.666666666666666,0,10.8,1.4,1.74,Graduate
80,1,1,6,9853,1,1,114.0,1,19,19,9.0,9.0,110.2,1,0,1,1,0,20.0,0,0.0,6.0,8.0,5.0,12.2,0,0.0,6.0,7.0,5.0,12.2,0,10.8,1.4,1.74,Dropout
81,1,39,1,9991,0,2,140.0,1,3,3,2.0,2.0,155.7,1,0,1,1,0,35.0,0,0.0,1.0,1.0,0.0,0.0,1,0.0,5.0,0.0,0.0,0.0,0,10.8,1.4,1.74,Dropout
82,1,39,1,9003,1,9,160.0,1,3,3,4.0,2.0,180.4,0,1,1,1,0,24.0,0,6.0,12.0,17.0,6.0,12.166666666666666,0,7.0,12.0,14.0,10.0,13.3,0,12.4,0.5,1.79,Dropout
84,2,39,1,8014,0,1,130.0,1,37,37,9.0,6.0,110.0,1,0,1,0,0,33.0,0,0.0,6.0,7.0,6.0,11.0,0,0.0,6.0,11.0,5.0,11.0,0,9.4,-0.8,-3.12,Graduate
85,1,42,1,9500,1,1,160.0,1,37,38,9.0,7.0,161.0,1,0,1,0,1,22.0,0,0.0,8.0,8.0,7.0,13.08,0,0.0,8.0,8.0,7.0,13.08,0,10.8,1.4,1.74,Graduate
86,1,39,1,9670,1,1,120.0,1,1,19,4.0,5.0,100.0,0,0,1,0,1,25.0,0,0.0,5.0,7.0,4.0,10.5,0,0.0,5.0,7.0,5.0,11.6,0,9.4,-0.8,-3.12,Graduate
87,1,17,1,9070,1,1,124.0,1,19,38,4.0,0.0,117.6,1,0,1,1,0,20.0,0,0.0,6.0,9.0,6.0,10.666666666666666,1,0.0,6.0,6.0,5.0,11.2,0,7.6,2.6,0.32,Graduate
90,1,39,1,9500,1,1,133.1,1,1,1,4.0,10.0,100.8,0,0,1,1,0,24.0,0,0.0,7.0,18.0,0.0,0.0,0,0.0,7.0,7.0,0.0,0.0,0,13.9,-0.3,0.79,Dropout
91,1,17,2,9773,1,1,133.1,41,19,1,9.0,9.0,105.0,1,0,0,0,0,21.0,1,0.0,6.0,6.0,6.0,14.0,0,0.0,6.0,6.0,6.0,13.5,0,8.9,1.4,3.51,Graduate
92,1,15,1,9130,1,1,133.1,41,1,1,4.0,4.0,100.0,0,0,1,0,0,26.0,1,0.0,6.0,7.0,2.0,12.0,1,0.0,6.0,6.0,0.0,0.0,0,8.9,1.4,3.51,Dropout
93,2,39,1,9853,1,9,133.1,1,37,34,0.0,0.0,115.5,0,0,1,0,0,39.0,0,0.0,6.0,12.0,3.0,12.666666666666666,0,0.0,6.0,14.0,0.0,0.0,1,7.6,2.6,0.32,Dropout
94,2,39,1,8014,0,1,133.1,1,37,19,9.0,9.0,114.0,0,0,1,0,0,44.0,0,2.0,8.0,11.0,8.0,11.875,0,0.0,6.0,7.0,6.0,12.333333333333334,0,12.7,3.7,-1.7,Graduate
96,1,1,5,9773,1,1,135.0,1,37,1,5.0,5.0,124.9,1,0,1,0,0,18.0,0,0.0,6.0,6.0,6.0,13.666666666666666,0,0.0,6.0,6.0,6.0,13.333333333333334,0,8.9,1.4,3.51,Graduate
97,1,1,5,9500,1,1,132.0,1,37,37,7.0,7.0,120.3,1,0,1,0,1,18.0,0,0.0,7.0,7.0,7.0,13.75,0,0.0,8.0,9.0,8.0,14.47777777777778,0,12.4,0.5,1.79,Graduate
99,1,1,4,9500,1,1,115.0,1,3,3,2.0,2.0,111.5,1,1,0,0,0,19.0,0,0.0,7.0,10.0,4.0,11.96,0,0.0,7.0,7.0,0.0,0.0,0,13.9,-0.3,0.79,Dropout
100,1,53,1,9085,1,42,130.0,1,38,38,9.0,9.0,128.8,0,0,1,0,0,21.0,0,7.0,10.0,12.0,8.0,12.875,0,4.0,9.0,14.0,5.0,13.4,0,8.9,1.4,3.51,Dropout
101,1,1,4,171,1,1,133.1,1,1,1,9.0,10.0,110.0,1,0,1,0,0,20.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,16.2,0.3,-0.92,Graduate
102,2,39,1,8014,0,1,130.0,1,37,37,6.0,5.0,113.5,1,0,1,0,0,36.0,0,0.0,6.0,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0,9.4,-0.8,-3.12,Dropout
103,2,39,1,9003,1,12,133.1,1,37,37,9.0,6.0,160.0,0,0,1,0,0,43.0,0,13.0,6.0,19.0,18.0,14.63157894736842,0,10.0,13.0,14.0,13.0,14.23076923076923,1,15.5,2.8,-4.06,Graduate
104,1,18,1,9853,1,1,123.0,1,19,19,9.0,7.0,117.4,1,0,1,0,0,19.0,0,0.0,6.0,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0,11.1,0.6,2.02,Dropout
105,1,51,1,9070,1,1,130.0,1,3,1,2.0,8.0,122.2,0,1,1,0,0,20.0,0,4.0,10.0,12.0,10.0,13.0,0,5.0,11.0,11.0,11.0,12.272727272727272,0,11.1,0.6,2.02,Graduate
106,1,1,2,9238,1,1,122.0,1,37,38,4.0,7.0,118.2,1,0,1,0,0,19.0,0,0.0,6.0,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0,16.2,0.3,-0.92,Dropout
107,1,1,1,9085,1,1,113.0,1,1,1,4.0,4.0,106.7,1,0,1,0,0,20.0,0,0.0,6.0,15.0,4.0,14.2,0,0.0,6.0,17.0,4.0,13.25,0,15.5,2.8,-4.06,Dropout
108,1,1,5,9500,1,1,111.0,1,3,4,4.0,3.0,108.2,1,0,1,0,0,20.0,0,2.0,7.0,9.0,6.0,13.266666666666666,0,0.0,7.0,10.0,5.0,12.3,0,12.4,0.5,1.79,Dropout
110,1,1,1,9238,1,1,142.0,1,37,37,6.0,7.0,136.1,1,0,1,0,0,18.0,0,0.0,6.0,8.0,6.0,13.857142857142858,0,0.0,6.0,6.0,6.0,15.0,0,13.9,-0.3,0.79,Graduate
112,1,1,1,9085,1,1,131.0,1,19,19,9.0,9.0,139.8,1,0,1,0,0,19.0,0,0.0,5.0,6.0,5.0,13.4,0,0.0,5.0,5.0,5.0,12.8,0,10.8,1.4,1.74,Graduate
113,1,1,3,9773,1,1,158.0,1,1,38,4.0,7.0,157.0,1,0,1,0,0,18.0,0,0.0,6.0,6.0,6.0,12.666666666666666,0,0.0,6.0,7.0,6.0,12.571428571428571,0,10.8,1.4,1.74,Graduate
114,1,17,2,9500,1,1,122.0,1,37,37,9.0,9.0,131.0,1,0,1,0,0,18.0,0,0.0,7.0,7.0,6.0,12.516666666666666,1,0.0,7.0,7.0,6.0,12.516666666666666,1,7.6,2.6,0.32,Dropout
118,1,1,2,9085,1,1,140.0,1,37,38,9.0,7.0,137.0,0,0,1,0,0,18.0,0,0.0,5.0,12.0,5.0,13.142857142857142,2,0.0,5.0,6.0,5.0,11.4,0,9.4,-0.8,-3.12,Graduate
119,1,1,1,9147,1,1,127.0,1,2,19,4.0,5.0,121.8,0,0,1,0,0,18.0,0,0.0,5.0,5.0,5.0,12.6,0,0.0,5.0,5.0,5.0,14.0,0,11.1,0.6,2.02,Graduate
120,1,17,1,9254,1,1,133.1,1,1,1,4.0,5.0,131.0,1,0,1,0,0,21.0,0,0.0,6.0,12.0,3.0,11.0,0,0.0,6.0,12.0,2.0,11.0,0,9.4,-0.8,-3.12,Dropout
121,1,1,2,9147,1,1,120.0,1,19,19,9.0,7.0,118.6,1,0,1,0,0,19.0,0,0.0,5.0,8.0,5.0,10.8,0,0.0,5.0,9.0,4.0,11.25,2,16.2,0.3,-0.92,Graduate
122,1,1,1,171,1,1,137.0,1,3,19,2.0,9.0,122.3,0,0,1,0,0,19.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,10.8,1.4,1.74,Dropout
123,1,1,1,9670,1,1,131.0,1,38,38,9.0,9.0,127.9,0,0,1,0,1,19.0,0,0.0,5.0,5.0,5.0,12.8,0,0.0,5.0,5.0,5.0,14.2,0,9.4,-0.8,-3.12,Graduate
124,1,1,1,9085,1,1,130.0,1,19,38,4.0,7.0,121.3,1,0,1,0,0,19.0,0,0.0,6.0,15.0,6.0,14.166666666666666,0,0.0,6.0,13.0,6.0,12.2,0,15.5,2.8,-4.06,Graduate
125,1,17,6,9130,1,1,122.0,1,1,1,4.0,5.0,117.1,1,0,1,0,0,19.0,0,0.0,7.0,12.0,5.0,12.1,0,0.0,7.0,0.0,0.0,0.0,0,13.9,-0.3,0.79,Dropout
126,1,44,1,9085,1,39,160.0,1,37,37,9.0,9.0,160.0,1,0,1,0,0,20.0,0,1.0,6.0,7.0,6.0,14.166666666666666,0,1.0,6.0,17.0,5.0,13.77777777777778,0,12.4,0.5,1.79,Graduate
128,1,17,3,9238,1,1,131.0,1,1,39,5.0,3.0,122.6,1,0,1,0,0,18.0,0,0.0,6.0,7.0,6.0,13.0,0,0.0,6.0,6.0,6.0,13.666666666666666,0,12.4,0.5,1.79,Graduate
129,1,17,6,9500,1,1,132.0,1,1,37,8.0,9.0,128.0,1,0,1,0,0,19.0,0,0.0,7.0,7.0,7.0,13.467142857142855,0,0.0,8.0,9.0,8.0,15.011111111111113,0,12.4,0.5,1.79,Graduate
130,1,1,3,9500,1,1,138.0,1,19,19,5.0,8.0,124.9,1,0,1,0,1,18.0,0,0.0,7.0,9.0,7.0,13.2375,0,0.0,8.0,9.0,7.0,13.742857142857144,0,13.9,-0.3,0.79,Dropout
131,1,17,2,9070,1,1,130.0,1,37,37,9.0,9.0,123.7,1,0,1,0,0,18.0,0,0.0,6.0,6.0,6.0,12.333333333333334,0,0.0,6.0,6.0,6.0,13.0,0,7.6,2.6,0.32,Graduate
132,1,1,4,9147,1,1,126.0,1,1,19,4.0,8.0,120.1,1,0,1,0,0,19.0,0,0.0,5.0,7.0,5.0,12.4,0,0.0,5.0,5.0,5.0,14.6,0,8.9,1.4,3.51,Graduate
133,1,17,6,9500,1,1,148.0,1,1,19,3.0,3.0,131.7,1,0,1,0,0,19.0,0,0.0,7.0,8.0,5.0,14.0,0,0.0,7.0,7.0,0.0,0.0,0,13.9,-0.3,0.79,Dropout
134,1,43,1,9238,1,1,130.0,1,38,37,9.0,7.0,133.2,0,0,1,0,0,20.0,0,5.0,9.0,15.0,9.0,11.666666666666666,0,2.0,7.0,8.0,7.0,11.714285714285714,0,7.6,2.6,0.32,Graduate
135,1,1,1,9670,1,1,117.0,1,1,38,3.0,9.0,109.3,0,1,0,0,1,19.0,0,0.0,6.0,7.0,5.0,12.0,0,0.0,6.0,9.0,4.0,12.5,0,12.4,0.5,1.79,Dropout
136,1,17,1,9670,1,1,120.0,1,19,19,5.0,5.0,113.0,1,0,1,0,0,20.0,0,0.0,5.0,7.0,4.0,12.2,0,0.0,5.0,5.0,4.0,11.5,0,7.6,2.6,0.32,Graduate
137,1,1,1,9773,1,1,153.0,1,1,1,5.0,7.0,157.9,0,1,1,0,1,18.0,0,0.0,6.0,6.0,6.0,14.833333333333334,0,0.0,6.0,6.0,6.0,14.833333333333334,0,8.9,1.4,3.51,Graduate
139,1,18,1,9500,1,1,178.0,1,19,1,4.0,8.0,174.7,0,0,1,0,0,18.0,0,0.0,7.0,8.0,7.0,17.125,0,0.0,8.0,8.0,8.0,17.5875,0,13.9,-0.3,0.79,Graduate
140,1,1,5,9500,1,1,129.0,1,37,37,9.0,9.0,128.8,1,0,1,0,0,19.0,0,0.0,7.0,7.0,6.0,12.666666666666666,0,0.0,7.0,7.0,6.0,12.666666666666666,0,7.6,2.6,0.32,Graduate
141,1,1,6,9773,1,1,116.0,1,19,1,4.0,4.0,110.1,1,0,1,0,1,19.0,0,0.0,6.0,8.0,6.0,12.666666666666666,0,0.0,6.0,10.0,5.0,12.0,0,12.4,0.5,1.79,Graduate
